Num,Name,Ca,,, 
321,버거_갈릭앤갈릭 버거,E,,,
322,버거_갈릭 치킹 버거,E,,,
323,버거_골든맥앤치즈비프 버거,E,,,
324,버거_골든맥앤치즈치킨 버거,E,,,
325,버거_그릴드더블비프 버거,E,,,
326,버거_그릴드비프 버거,E,,,
327,버거_그릴드하와이 버거,E,,,
328,버거_더머쉬룸 버거,E,,,
329,버거_더블 데리버거,E,,,
330,버거_더블 치킨 버거,E,,,
331,버거_더블 클래식 치즈 버거 버터번,E,,,
332,버거_더블 리아미라클2 버거,E,,,
333,버거_더블비프불고기 버거,E,,,
334,버거_더블오리지널치즈 버거,E,,,
335,버거_더블치즈 베이컨 시그니처 버거,E,,,
336,버거_더블치즈 버거,E,,,
337,버거_더블치즈 버거 (L),E,,,
338,버거_더블 한우불고기 버거,E,,,
339,버거_디럭스불고기 버거,E,,,
340,버거_디아볼리 버거,E,,,
341,버거_딥치즈싸이 버거,E,,,
342,버거_뚱카츠 버거,E,,,
343,버거_리아미라클2 버거,E,,,
344,버거_리얼 딥치즈 버거,E,,,
345,버거_마라싸이 버거,E,,,
346,버거_맥스파이시상하이 버거,E,,,
347,버거_맥크리스피디럭스 버거,E,,,
348,버거_맥크리스피클래식 버거,E,,,
349,버거_머쉬룸 버거,E,,,
350,버거_머쉬룸 버거 (L),E,,,
351,버거_바비큐치킨 버거,E,,,
352,버거_BBQ 치킨 버거,E,,,
353,버거_베스트포지션 버거,E,,,
354,버거_베이컨치즈 버거,E,,,
355,버거_베이컨치즈 버거 (L),E,,,
356,버거_베이컨햄 에그번,E,,,
357,버거_불고기 베이컨 버거,E,,,
358,버거_불고기 익스트림 오징어 버거,E,,,
359,버거_블랙바비큐와퍼 버거,E,,,
360,버거_블랙바비큐콰트로치즈와퍼 버거,E,,,
361,버거_비프&슈림프 버거,E,,,
362,버거_비프스테이크 버거,E,,,
363,버거_빈스미트 핫도그,E,,,
364,버거_새우베이컨 버거,E,,,
365,버거_새우익스트림 레몬크림 버거,E,,,
366,버거_쉬림프 버거,E,,,
367,버거_쉬림프싸이플렉스 버거,E,,,
368,버거_슈림프 버거,E,,,
369,버거_스콜쳐 버거 플러스,E,,,
370,버거_스파이시치킨 스낵랩,E,,,
371,버거_아라비아따치즈 버거,E,,,
372,버거_에그샐러드번,E,,,
373,버거_에그포테이토 버거,E,,,
374,버거_오리지널미트볼 버거,E,,,
375,버거_오리지널스 페퍼잭 더블,E,,,
376,버거_오리지널스 페퍼잭 싱글,E,,,
377,버거_오믈렛킹모닝,E,,,
378,버거_오찡 버거,E,,,
379,버거_징거 BLT 버거,E,,,
380,버거_창녕갈릭비프 버거,E,,,
381,버거_창녕갈릭치킨 버거,E,,,
382,버거_청양마요미트볼 버거,E,,,
383,버거_치즈 버거,E,,,
384,버거_치즈 버거 (L),E,,,
385,버거_치즈인더트랩 버거,E,,,
386,버거_치킨 버거,E,,,
387,버거_치킨킹버거,E,,,
388,버거_치킨킹BLT 버거,E,,,
389,버거_치플레핫치킨 버거,E,,,
390,버거_칠리새우 버거,E,,,
391,버거_칠리 치킹 버거,E,,,
392,버거_케이준비프 스낵랩,E,,,
393,버거_콰트로 맥앤치즈 버거,E,,,
394,버거_클래식치즈 버거 버터번,E,,,
395,버거_클래식포즈 버거,E,,,
396,버거_탄두리싸이 버거,E,,,
397,버거_텍사스레드 버거,E,,,
398,버거_통새우슈림프 버거,E,,,
399,버거_투머치 베이컨 버거,E,,,
400,버거_트리플딥치즈비프 버거,E,,,
401,버거_트리플딥치즈싸이 버거,E,,,
