Num,Name,AllKcal,OhKcal,W,P,F,C,S,Na,SF
1,국밥_돼지머리,1233,137,900,6.7,5.16,15.94,0.16,181,1.47
2,국밥_순대국밥,675,75,900,3.17,2.28,10.38,0.17,126,1.26
3,국밥_콩나물,405.6,52,780,1.45,0.24,10.93,0,172,0.12
4,김밥,322,140,230,4.84,4.55,19.98,0,307,1.1
5,덮밥_낙지,525,150,350,5.88,3.34,24.12,2.16,212,0.37
6,덮밥_불고기,728,182,400,6.6,5.31,26.96,0.07,253,1.4
7,덮밥_오징어,486,135,360,7.18,2.01,21.94,0.66,162,0.24
8,볶음밥,640.5,183,350,5.56,2.76,33.97,0,212,1.1
9,비빔밥,639,142,450,6.86,4.32,18.84,0.05,232,0.95
10,알밥,422.4,128,330,4.73,5.11,15.75,2.3,430,0.59
11,영양돌솥밥,644,184,350,3.43,2.87,36.06,0.63,6,0.61
12,오므라이스,692,173,400,6.5,7.23,20.54,3.19,433,1.38
13,짜장밥,573.4,122,470,4.27,4.72,15.57,0.03,236,0.58
14,잡채밥,825,150,550,4.02,3.42,25.79,0.05,227,0.41
15,짬뽕밥,648,72,900,3.2,1.4,11.65,1.34,234,0.23
16,초밥_모듬,608,160,380,9.66,1.59,26.72,1.4,142,0.41
17,초밥_유부초밥,388,194,200,5.78,5.77,29.82,1.99,386,0.69
18,카레라이스,518.4,108,480,3.11,1.4,20.74,0.16,210,0.44
19,콩나물밥,393.6,123,320,4.68,1.58,22.39,0.04,272,0.42
20,하이라이스,403.2,112,360,4.02,1.13,21.34,0,246,0.13
21,회덮밥_모듬,594.5,145,410,9.1,4.15,17.76,3.07,155,0.85
22,햄버거,528,264,200,12.85,13.98,21.67,3.13,450,4.42
23,간짜장,625,125,500,5.12,4.89,15.13,0.86,455,0.8
24,국수_막국수,798,133,600,5.8,1.61,23.9,4.88,405,0.46
25,국수_비빔국수,510,102,500,3.01,0.95,20.47,4.11,239,0.2
26,국수_잔치국수,308,44,700,1.93,0.49,8.05,0.04,216,0.16
27,국수_쟁반막국수,535.5,119,450,6.68,4.56,12.81,8.12,513,0.88
28,냉면_물냉면,385,55,700,1.96,0.64,10.31,4.52,161,0.16
29,냉면_비빔냉면,500,100,500,5.67,2.64,13.35,4.02,177,0.54
30,냉면_회냉면_홍어,740,148,500,5.81,4.02,22.21,2.84,99,0.27
31,떡국,588,84,700,3.43,0.53,16.37,0.08,176,0.24
32,떡만두국,666,111,600,3.53,3.91,15.47,0.01,206,0.57
33,라면,451,82,550,1.72,2.28,13.65,0,283,0.82
34,만두국_사골,609,87,700,3.74,4,8.94,0.06,333,1.71
35,메밀국수_온면,220.5,63,350,3.14,0.29,12.06,0,194,0.12
36,수제비,377,58,650,2.31,0.52,11.08,0,142,0.15
37,우동_일식,1264,158,800,1.78,3.22,30.48,0.02,157,0.3
38,우동볶음,384,128,300,2.8,2.01,24.79,0.43,257,0.49
39,월남쌈,295,118,250,5.94,4.97,12.25,5.5,230,2.13
40,짜장면,528,88,600,2.69,2.22,14.37,6.07,307,0.38
41,짬뽕,464,58,800,2.79,1.54,8.26,1.57,181,0.25
42,쫄면,709.5,129,550,3.21,2.52,23.26,3.51,250,0.22
43,칼국수,539,77,700,3.3,0.49,14.9,0,220,0.2
44,콩국수,648,81,800,3.9,3.35,8.92,0.24,67,0.17
45,닭죽,176,44,400,2.68,0.57,7.14,0,117,0.33
46,오리죽,620,155,400,7.5,4.99,19.95,0,62,1.16
47,전복죽,316,79,400,1.82,3.73,9.62,0,158,0.19
48,채소죽,172,43,400,1.69,0.69,7.62,0.17,224,0.18
49,팥죽,324,81,400,3.17,0.19,16.66,0.02,127,0.07
50,호박죽,196,49,400,1.93,1.71,6.58,3.56,42,0.04
51,흑임자죽,244,61,400,1.1,4.73,3.64,0.75,159,0.28
52,갈비탕,361.8,54,670,8.51,2.06,0.4,0.11,199,0.79
53,감자국,84,21,400,0.9,0.26,3.67,0.85,215,0.03
54,곰탕,144,24,600,3.43,1.12,0.11,0,124,0.41
55,곰탕_우거지,87.5,25,350,2.37,0.6,2.6,0.33,225,0.14
56,김치국,92,23,400,1.34,0.76,2.63,0.03,208,0.19
57,김치국_콩나물,48,12,400,0.82,0.47,1.15,0.49,230,0.09
58,내장탕,426,71,600,5.82,4.52,1.68,0.05,216,1.78
59,달걀국,52,13,400,0.93,0.74,0.69,0,246,0.27
60,달걀탕_순두부,101.5,29,350,1.78,2.04,0.94,0,101,0.37
61,닭곰탕,331.5,51,650,7.51,1.42,2,0.3,170,0.3
62,도가니탕,200,40,500,8.35,0.33,0.82,0,150,0.13
63,무국_소고기,60,15,400,1.33,0.64,1.1,0,166,0.09
64,미역국,48,12,400,0.65,0.61,0.87,0.27,168,0.05
65,북어국,112,28,400,3.89,0.98,0.84,0.12,232,0.17
66,사골국,220,55,400,5.56,2.42,2.81,0,75,0.94
67,삼계탕,909,101,900,10.68,4.8,3.84,0.45,82,1.29
